item_id,name,category,features_json,description,average_rating,num_reviews,launch_date
20,Zensleep v3,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""Free"", ""supported_devices"": ""iOS only""}","Zensleep v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.25,67,2024-11-22
21,NightGuard v3,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""iOS only""}","NightGuard v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.09,476,2025-04-10
22,PeakSleep v3,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Android only""}","PeakSleep v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.87,449,2025-02-18
23,SleepWell v3,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Both""}","SleepWell v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.53,409,2023-08-03
24,CircadianSync v3,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""Free"", ""supported_devices"": ""Android only""}","CircadianSync v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.62,428,2024-10-08
25,MindRest v3,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""Free"", ""supported_devices"": ""Web only""}","MindRest v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.29,133,2025-06-01
26,SleepCycle Pro v3,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""Android only""}","SleepCycle Pro v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.61,208,2024-12-24
27,Insomnia Coach v3,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Both""}","Insomnia Coach v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.94,393,2023-08-15
28,Breathe Easy v3,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""Web only""}","Breathe Easy v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.8,29,2023-12-21
29,Relax & Restore v3,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","Relax & Restore v3 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.14,381,2024-04-10
30,Calm Sleep v4,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","Calm Sleep v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.92,226,2023-06-17
31,Dream Track v4,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Android only""}","Dream Track v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.82,69,2024-08-17
32,SlumberAI v4,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""Free"", ""supported_devices"": ""iOS only""}","SlumberAI v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.63,485,2025-09-26
33,Restful v4,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""iOS only""}","Restful v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.72,35,2023-07-05
34,Sleep Mastery v4,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""iOS only""}","Sleep Mastery v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.58,153,2023-05-06
35,Zensleep v4,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""Android only""}","Zensleep v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.72,192,2023-08-07
36,NightGuard v4,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","NightGuard v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.11,147,2024-08-01
37,PeakSleep v4,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""Android only""}","PeakSleep v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.36,339,2024-11-03
38,SleepWell v4,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""Free"", ""supported_devices"": ""Web only""}","SleepWell v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.8,318,2025-03-31
39,CircadianSync v4,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""Free"", ""supported_devices"": ""Both""}","CircadianSync v4 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.3,174,2024-03-10
40,MindRest v5,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""Free"", ""supported_devices"": ""iOS only""}","MindRest v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.19,322,2025-07-02
41,SleepCycle Pro v5,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""Free"", ""supported_devices"": ""Web only""}","SleepCycle Pro v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.04,31,2025-04-11
42,Insomnia Coach v5,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Both""}","Insomnia Coach v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.63,463,2024-12-23
43,Breathe Easy v5,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""iOS only""}","Breathe Easy v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.44,132,2023-04-09
44,Relax & Restore v5,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Both""}","Relax & Restore v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.02,427,2024-09-03
45,Calm Sleep v5,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""$4.99/mo"", ""supported_devices"": ""Android only""}","Calm Sleep v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.17,179,2025-01-30
46,Dream Track v5,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""Free"", ""supported_devices"": ""Both""}","Dream Track v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.15,244,2024-01-01
47,SlumberAI v5,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","SlumberAI v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.84,265,2025-08-29
48,Restful v5,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""Web only""}","Restful v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.91,171,2025-02-21
49,Sleep Mastery v5,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""$14.99/mo"", ""supported_devices"": ""Web only""}","Sleep Mastery v5 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.65,61,2025-09-10
50,Zensleep v6,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": false, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","Zensleep v6 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",2.55,336,2024-05-16
51,NightGuard v6,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": false, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""Android only""}","NightGuard v6 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",3.73,99,2024-08-02
52,PeakSleep v6,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": true, ""has_community"": true, ""subscription_required"": true, ""price_tier"": ""Free"", ""supported_devices"": ""Android only""}","PeakSleep v6 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.48,404,2023-07-23
53,SleepWell v6,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""Free"", ""supported_devices"": ""Android only""}","SleepWell v6 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.06,204,2025-11-29
54,CircadianSync v6,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""Free"", ""supported_devices"": ""iOS only""}","CircadianSync v6 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.23,151,2024-02-10
55,MindRest v6,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": true, ""subscription_required"": false, ""price_tier"": ""$9.99/mo"", ""supported_devices"": ""iOS only""}","MindRest v6 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.29,230,2025-09-13
56,SleepCycle Pro v6,Mobile Apps,"{""has_sleep_tracking"": false, ""has_meditation"": true, ""has_smart_alarm"": false, ""has_music_library"": true, ""has_analytics"": false, ""has_community"": false, ""subscription_required"": false, ""price_tier"": ""Free"", ""supported_devices"": ""Web only""}","SleepCycle Pro v6 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.18,237,2024-01-03
57,Insomnia Coach v6,Mobile Apps,"{""has_sleep_tracking"": true, ""has_meditation"": true, ""has_smart_alarm"": true, ""has_music_library"": false, ""has_analytics"": true, ""has_community"": false, ""subscription_required"": true, ""price_tier"": ""Free"", ""supported_devices"": ""iOS only""}","Insomnia Coach v6 is a sleep app with meditation, tracking, and personalized recommendations. Features AI-powered sleep analysis and adaptive sleep programs.",4.38,210,2025-04-18
58,Fitbit HeartRate Monitor Elite,Wearable Devices,"{""has_heart_rate"": false, ""has_temperature"": true, ""has_SpO2"": true, ""has_movement"": false, ""battery_life_days"": 3, ""water_resistant"": true, ""price_range"": "">$400"", ""sleep_stages_detected"": false, ""has_haptic_feedback"": true}","Fitbit HeartRate Monitor Elite is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",3.73,255,2025-04-23
59,Garmin WearableSleep,Wearable Devices,"{""has_heart_rate"": true, ""has_temperature"": false, ""has_SpO2"": false, ""has_movement"": true, ""battery_life_days"": 10, ""water_resistant"": false, ""price_range"": "">$400"", ""sleep_stages_detected"": false, ""has_haptic_feedback"": true}","Garmin WearableSleep is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",4.81,354,2023-12-29
60,Samsung SmartBand Pro,Wearable Devices,"{""has_heart_rate"": true, ""has_temperature"": false, ""has_SpO2"": true, ""has_movement"": true, ""battery_life_days"": 12, ""water_resistant"": true, ""price_range"": ""$99-150"", ""sleep_stages_detected"": false, ""has_haptic_feedback"": false}","Samsung SmartBand Pro is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",2.72,23,2025-05-02
61,Whoop SleepTracker X,Wearable Devices,"{""has_heart_rate"": false, ""has_temperature"": false, ""has_SpO2"": false, ""has_movement"": false, ""battery_life_days"": 10, ""water_resistant"": false, ""price_range"": ""$99-150"", ""sleep_stages_detected"": true, ""has_haptic_feedback"": false}","Whoop SleepTracker X is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",3.28,216,2023-07-15
62,Eight Sleep BiometricWatch,Wearable Devices,"{""has_heart_rate"": true, ""has_temperature"": false, ""has_SpO2"": false, ""has_movement"": false, ""battery_life_days"": 11, ""water_resistant"": false, ""price_range"": ""$99-150"", ""sleep_stages_detected"": true, ""has_haptic_feedback"": false}","Eight Sleep BiometricWatch is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",3.92,303,2025-11-18
63,Apple OuraRing Plus,Wearable Devices,"{""has_heart_rate"": false, ""has_temperature"": false, ""has_SpO2"": true, ""has_movement"": false, ""battery_life_days"": 8, ""water_resistant"": false, ""price_range"": ""$150-250"", ""sleep_stages_detected"": false, ""has_haptic_feedback"": false}","Apple OuraRing Plus is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",3.29,271,2023-09-19
64,Oura FitSleep Monitor,Wearable Devices,"{""has_heart_rate"": false, ""has_temperature"": true, ""has_SpO2"": false, ""has_movement"": false, ""battery_life_days"": 8, ""water_resistant"": true, ""price_range"": ""$250-400"", ""sleep_stages_detected"": true, ""has_haptic_feedback"": true}","Oura FitSleep Monitor is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",3.39,263,2025-04-10
65,Fitbit NightSense Band,Wearable Devices,"{""has_heart_rate"": false, ""has_temperature"": true, ""has_SpO2"": true, ""has_movement"": true, ""battery_life_days"": 8, ""water_resistant"": false, ""price_range"": ""$150-250"", ""sleep_stages_detected"": false, ""has_haptic_feedback"": true}","Fitbit NightSense Band is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",3.43,101,2024-08-17
66,Garmin WellnessPod,Wearable Devices,"{""has_heart_rate"": true, ""has_temperature"": false, ""has_SpO2"": false, ""has_movement"": true, ""battery_life_days"": 7, ""water_resistant"": false, ""price_range"": ""$250-400"", ""sleep_stages_detected"": true, ""has_haptic_feedback"": true}","Garmin WellnessPod is a wearable sleep tracker with advanced biometric sensors. Provides detailed sleep stage analysis, heart rate variability tracking, and actionable insights.",4.89,496,2023-05-23
